task_id,iamfloc,pve_id,wo_id,title,project_manager,project_manager_phone,status,project_type,resident_engineer,address_street,street_from,street_to,council_district,community_planning_area,funclass,length,width,date_moratorium,date_start,date_end,paving_miles,pci_16,pci23,days_to_inspection,years_to_inspection,pci_before,pci_after_repair,pci_degradation,degradation_per_year,years_until_threshold
133564,SS-032210-PV1,903970,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,MARGUERITE CREEK WY,LOPELIA MEADOWS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,397,36.0,2016-07-01,2016-07-01,2016-07-01,0.0751893939393939,99.5,78.69,2526,6.915811088295688,99.5,99.5,20.810000000000002,3.0090469121140146,1.6616557155924283
133563,SS-032209-PV1,903968,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,HYACINTH HILLS WY,MARGUERITE CREEK WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,270,36.0,2016-07-01,2016-07-01,2016-07-01,0.0511363636363636,99.5,75.45,2526,6.915811088295688,99.5,99.5,24.049999999999997,3.4775385985748213,1.4377985630552368
133562,SS-032208-PV1,903966,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SILVERBUSH CREEK ST,ZINNIA HILLS PL,HYACINTH HILLS WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,325,36.0,2016-07-01,2016-07-01,2016-07-01,0.0615530303030303,99.5,82.47,2526,6.915811088295688,99.5,99.5,17.03,2.462473277909739,2.030478886757395
133572,SS-032212-PV1,903972,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MARGUERITE CREEK WY,SILVERBUSH CREEK ST,QUAIL RUN ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,652,32.0,2016-07-05,2016-07-05,2016-07-05,0.1234848484848484,100.0,79.36,2522,6.9048596851471595,99.9673159144893,99.96731591448932,20.60731591448932,2.9844655581947754,1.6753418334049626
133570,SS-031840-PV1,922739,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,LOPELIA MEADOWS PL,CARMEL VALLEY RD,END,1,PACIFIC HIGHLANDS RANCH,RES CUL DE SAC,420,52.0,2016-07-05,2016-07-05,2016-07-05,0.159090909090909,100.0,79.48,2522,6.9048596851471595,99.96750593824228,99.96750593824228,20.48750593824228,2.967114014251781,1.6851391540681502
133576,SS-031925-PV1,914574,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GINGER GLEN RD,BLAZING STAR LN,ASTER MEADOWS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,1571,34.0,2016-07-05,2016-07-05,2016-07-05,0.2975378787878787,92.88,80.1,2522,6.9048596851471595,92.85976247030878,92.85976247030878,12.759762470308786,1.8479394299287406,2.705716388222101
133571,SS-032207-PV1,903977,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,VALERIAN VISTA PL,SUNFLOWER CREST PL,ZINNIA HILLS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,481,36.0,2016-07-05,2016-07-05,2016-07-05,0.0910984848484848,99.5,79.68,2522,6.9048596851471595,99.4686144101346,99.4686144101346,19.7886144101346,2.865896674584323,1.7446546640503755
133574,SS-032245-PV1,901348,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SAGE MESA RD,SILVERBUSH CREEK ST,MONTEZ VILLA RD,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,607,36.0,2016-07-05,2016-07-05,2016-07-05,0.1149621212121212,97.32,71.17,2522,6.9048596851471595,97.27859065716547,97.27859065716547,26.108590657165465,3.781190617577195,1.322334816117723
133567,SS-003135-PV1,923326,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,AVNDA DE LA CANTINA,CALLE CABALLEROS,AVNDA GRANDE,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,262,36.0,2016-07-05,2016-07-05,2016-07-05,0.0496212121212121,86.81,85.08,2522,6.9048596851471595,86.80726049089469,86.80726049089469,1.7272604908946931,0.250151425178147,19.987893318773686
133568,SS-003136-PV1,923333,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,AVNDA DE LA CANTINA,AVNDA DEL GENERAL,CALLE CABALLEROS,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,292,36.0,2016-07-05,2016-07-05,2016-07-05,0.0553030303030303,96.64,93.6,2522,6.9048596851471595,96.63518606492478,96.63518606492478,3.035186064924787,0.4395724465558201,11.374689289959996
